rfq_index,rfq_date,rfq_product_type,rfq_location,rfq_title,rfq_description,supplier_index,supplier_name,supplier_product_type,supplier_product_name,supplier_product_description,supplier_delivery_area,product_match,location_match,text_similarity
3,2024-06-27,Electronics,Lisbon,Looking for Electronics,"Hello, I'm interested in Electronics. Can you provide product details and pricing for delivery to Lisbon?",103,Reeves-Perez,Clothing,Eclipse Eclipse Sneakers,Elevate your experience with comfortable footwear for everyday use or sports. Designed for tech-savvy users..,"Helsinki, Warsaw, Athens, Amsterdam, Lisbon",0,1,0.0
3,2024-06-27,Electronics,Lisbon,Looking for Electronics,"Hello, I'm interested in Electronics. Can you provide product details and pricing for delivery to Lisbon?",816,Scott-Washington,Furniture,Vertex Aura Frame,"Elevate your experience with support structure for mattresses, available in multiple sizes. Designed for modern lifestyles..","Vienna, Amsterdam, Rome, Athens",0,0,0.0
3,2024-06-27,Electronics,Lisbon,Looking for Electronics,"Hello, I'm interested in Electronics. Can you provide product details and pricing for delivery to Lisbon?",171,"Johnson, Gallagher and Hutchinson",Audio,Echo Vector Turntable,Experience vinyl record player with modern audio outputs. Loved by eco-conscious spaces..,"Helsinki, Oslo, Amsterdam, Madrid",0,0,0.0
3,2024-06-27,Electronics,Lisbon,Looking for Electronics,"Hello, I'm interested in Electronics. Can you provide product details and pricing for delivery to Lisbon?",892,Petty-Thomas,Beauty,Prism Aura Lotion,Our lotion stands out: moisturizer applied to the body to keep skin soft. Great for creative work..,"Helsinki, Vienna",0,0,0.0
4,2024-06-28,Clothing,Dublin,Need Clothing,"Hello, I'm interested in Clothing. Can you provide product details and pricing for delivery to Dublin?",979,Hamilton-Torres,Clothing,Echo Matrix Jacket,"Introducing our jacket, insulated jacket for cold weather protection. Ideal for modern lifestyles..","Helsinki, Oslo, Madrid",1,0,0.0
4,2024-06-28,Clothing,Dublin,Need Clothing,"Hello, I'm interested in Clothing. Can you provide product details and pricing for delivery to Dublin?",508,Stevens Group,Service,Nexus Spectrum Grooming,"Our grooming stands out: washing, brushing, and trimming services for all types of pets. Great for everyday use..","Brussels, Vienna, Barcelona",0,0,0.0
4,2024-06-28,Clothing,Dublin,Need Clothing,"Hello, I'm interested in Clothing. Can you provide product details and pricing for delivery to Dublin?",260,Simmons LLC,Audio,Nimbus Pulse Turntable,Experience vinyl record player with modern audio outputs. Loved by everyday use..,"Warsaw, Vienna, Barcelona",0,0,0.0
4,2024-06-28,Clothing,Dublin,Need Clothing,"Hello, I'm interested in Clothing. Can you provide product details and pricing for delivery to Dublin?",899,Mueller LLC,Sporting Goods,Nimbus Eclipse Set,"Introducing our set, adjustable or fixed-weight dumbbells for strength training. Ideal for tech-savvy users..","Brussels, Budapest, Dublin, Paris",0,1,0.0
4,2024-06-28,Clothing,Dublin,Need Clothing,"Hello, I'm interested in Clothing. Can you provide product details and pricing for delivery to Dublin?",483,"Jones, Garner and Mclaughlin",Audio,Vertex Vector Headphones,Discover the headphones that reduce ambient noise for focused listening. Perfect for creative work..,"Warsaw, Oslo, Berlin",0,0,0.0
5,2024-07-01,Beauty,Dublin,Need Beauty,"Hi, do you have any Beauty available? I'm planning to buy soon and need delivery to Dublin.",652,Atkins-Richards,Beauty,Halo Arc Cream,Our cream stands out: moisturizer for hydrating and nourishing facial skin. Great for everyday use..,"Amsterdam, Madrid, Brussels, Athens",1,0,0.0
5,2024-07-01,Beauty,Dublin,Need Beauty,"Hi, do you have any Beauty available? I'm planning to buy soon and need delivery to Dublin.",502,"Brown, Fuller and Smith",Audio,Obsidian Solace Headphones,Discover the headphones that reduce ambient noise for focused listening. Perfect for professional setups..,"Barcelona, Prague",0,0,0.0
5,2024-07-01,Beauty,Dublin,Need Beauty,"Hi, do you have any Beauty available? I'm planning to buy soon and need delivery to Dublin.",508,Stevens Group,Service,Nexus Spectrum Grooming,"Our grooming stands out: washing, brushing, and trimming services for all types of pets. Great for everyday use..","Brussels, Vienna, Barcelona",0,0,0.0
5,2024-07-01,Beauty,Dublin,Need Beauty,"Hi, do you have any Beauty available? I'm planning to buy soon and need delivery to Dublin.",772,Jones Inc,Food,Luminous Solace Chocolate,Our chocolate stands out: rich chocolate with a high cocoa content for intense flavor. Great for outdoor adventures..,"Madrid, Dublin, Brussels, Stockholm, Athens",0,1,0.0
5,2024-07-01,Beauty,Dublin,Need Beauty,"Hi, do you have any Beauty available? I'm planning to buy soon and need delivery to Dublin.",557,"Gill, Raymond and Henry",Audio,Eclipse Zenith Speaker,Elevate your experience with wireless speaker with bluetooth connectivity and rich sound. Designed for everyday use..,"Warsaw, Zurich",0,0,0.0
6,2024-07-02,Books,Munich,Inquiry: Books,"Hello, I'm interested in Books. Can you provide product details and pricing for delivery to Munich?",593,Hawkins-Smith,Books,Cascade Reverie Book,Our book stands out: guidebook offering advice for personal improvement. Great for creative work..,"Stockholm, Brussels, Amsterdam, Paris, Lisbon",1,0,0.0
6,2024-07-02,Books,Munich,Inquiry: Books,"Hello, I'm interested in Books. Can you provide product details and pricing for delivery to Munich?",693,Rivers-Arnold,Toys,Obsidian Zenith Set,Discover the set of pieces to be assembled into a complete picture. Perfect for tech-savvy users..,"Amsterdam, Oslo, Brussels, Rome",0,0,0.0
6,2024-07-02,Books,Munich,Inquiry: Books,"Hello, I'm interested in Books. Can you provide product details and pricing for delivery to Munich?",839,"King, Dean and Williams",Electronics,Nexus Essence Laptop,Experience portable computer for personal or professional use. Loved by on-the-go convenience..,"Rome, Budapest, Prague, Amsterdam, Copenhagen",0,0,0.0
6,2024-07-02,Books,Munich,Inquiry: Books,"Hello, I'm interested in Books. Can you provide product details and pricing for delivery to Munich?",371,Charles LLC,Clothing,Vivid Vector Sneakers,Discover the comfortable footwear for everyday use or sports. Perfect for everyday use..,"Berlin, Amsterdam, Zurich",0,0,0.0
6,2024-07-02,Books,Munich,Inquiry: Books,"Hello, I'm interested in Books. Can you provide product details and pricing for delivery to Munich?",294,Matthews-Hernandez,Beauty,Cascade Essence Balm,Experience wax-like substance to protect and soothe lips. Loved by home enthusiasts..,"Oslo, Amsterdam, Stockholm",0,0,0.0
7,2024-07-03,Audio,Paris,Looking for Audio,"Dear supplier, I need Audio delivered to Paris. Kindly send me details on availability and cost.",191,Jones Inc,Audio,Solstice Zenith Soundbar,"Introducing our soundbar, compact speaker system designed to enhance tv audio. Ideal for tech-savvy users..","Dublin, Helsinki, Brussels",1,0,0.10923577731916809
7,2024-07-03,Audio,Paris,Looking for Audio,"Dear supplier, I need Audio delivered to Paris. Kindly send me details on availability and cost.",452,"Sherman, Gonzales and Douglas",Furniture,Cascade Pinnacle Table,Our table stands out: low table designed for living room placement. Great for all-day comfort..,"Brussels, Vienna, Warsaw",0,0,0.0
7,2024-07-03,Audio,Paris,Looking for Audio,"Dear supplier, I need Audio delivered to Paris. Kindly send me details on availability and cost.",950,"Hall, Joseph and Rodriguez",Toys,Celestial Vector Set,"Introducing our set, set of pieces to be assembled into a complete picture. Ideal for on-the-go convenience..","Copenhagen, Zurich",0,0,0.0
7,2024-07-03,Audio,Paris,Looking for Audio,"Dear supplier, I need Audio delivered to Paris. Kindly send me details on availability and cost.",654,Atkins-Richards,Clothing,Serene Reverie T-Shirt,Our t-shirt stands out: casual cotton shirt with short sleeves. Great for all-day comfort..,"Amsterdam, Madrid, Brussels, Athens",0,0,0.0
7,2024-07-03,Audio,Paris,Looking for Audio,"Dear supplier, I need Audio delivered to Paris. Kindly send me details on availability and cost.",274,"Hill, Hall and Williams",Food,Quantum Odyssey Bar,"Introducing our bar, a wholesome snack bar made with oats, honey, and nuts. Ideal for home enthusiasts..","Copenhagen, Barcelona, Dublin, Budapest, Stockholm",0,0,0.0
8,2024-07-04,Furniture,Helsinki,RFQ: Furniture,"Hello, I'm interested in Furniture. Can you provide product details and pricing for delivery to Helsinki?",469,"Rios, Hester and Washington",Furniture,Halo Pulse Bookshelf,"Introducing our bookshelf, multi-tier shelf for storing books and decorations. Ideal for tech-savvy users..","Madrid, Oslo, Helsinki",1,1,0.0
8,2024-07-04,Furniture,Helsinki,RFQ: Furniture,"Hello, I'm interested in Furniture. Can you provide product details and pricing for delivery to Helsinki?",36,"Owens, Rowe and Salinas",Food,Vivid Flux Yogurt,"Elevate your experience with thick, creamy yogurt rich in protein and probiotics. Designed for on-the-go convenience..","Zurich, Paris, Rome, Amsterdam",0,0,0.0
8,2024-07-04,Furniture,Helsinki,RFQ: Furniture,"Hello, I'm interested in Furniture. Can you provide product details and pricing for delivery to Helsinki?",795,Perez-Garcia,Beauty,Quantum Wave Balm,Discover the wax-like substance to protect and soothe lips. Perfect for outdoor adventures..,"Lisbon, Stockholm",0,0,0.0
8,2024-07-04,Furniture,Helsinki,RFQ: Furniture,"Hello, I'm interested in Furniture. Can you provide product details and pricing for delivery to Helsinki?",392,"Robinson, Adams and Allen",Electronics,Vertex Zenith Smartwatch,Our smartwatch stands out: wearable gadget with fitness tracking and notifications. Great for outdoor adventures..,"Berlin, Brussels, Paris, Amsterdam, Rome",0,0,0.0
8,2024-07-04,Furniture,Helsinki,RFQ: Furniture,"Hello, I'm interested in Furniture. Can you provide product details and pricing for delivery to Helsinki?",575,"Mcbride, Cruz and Barnett",Toys,Zenith Vista Car,Discover the remote-controlled car powered by batteries. Perfect for home enthusiasts..,"Berlin, Zurich, Oslo, Copenhagen, Amsterdam",0,0,0.0
9,2024-07-05,Service,Munich,Need Service,"Hello, I'm interested in purchasing Service for my upcoming project. Could you share your catalog and pricing?",773,Jones Inc,Service,Quantum Mirage Mowing,"Introducing our mowing, regular lawn care including grass cutting and edge trimming. Ideal for home enthusiasts..","Madrid, Dublin, Brussels, Stockholm, Athens",1,0,0.0
9,2024-07-05,Service,Munich,Need Service,"Hello, I'm interested in purchasing Service for my upcoming project. Could you share your catalog and pricing?",573,"Mcbride, Cruz and Barnett",Sporting Goods,Aurora Eclipse Mat,Elevate your experience with mat providing cushioning for yoga and exercises. Designed for modern lifestyles..,"Berlin, Zurich, Oslo, Copenhagen, Amsterdam",0,0,0.0
9,2024-07-05,Service,Munich,Need Service,"Hello, I'm interested in purchasing Service for my upcoming project. Could you share your catalog and pricing?",860,"Clark, Reed and Jones",Toys,Zenith Wave Bear,Discover the soft stuffed toy shaped like a bear. Perfect for home enthusiasts..,"Paris, Helsinki, Zurich, Berlin, Vienna",0,0,0.0
9,2024-07-05,Service,Munich,Need Service,"Hello, I'm interested in purchasing Service for my upcoming project. Could you share your catalog and pricing?",716,Hubbard-Rodriguez,Audio,Solstice Wave Turntable,Experience vinyl record player with modern audio outputs. Loved by home enthusiasts..,"Lisbon, Warsaw, Budapest, Helsinki",0,0,0.0
9,2024-07-05,Service,Munich,Need Service,"Hello, I'm interested in purchasing Service for my upcoming project. Could you share your catalog and pricing?",684,Smith-Peterson,Sporting Goods,Serene Spectrum Racket,Our racket stands out: lightweight racket for playing tennis. Great for professional setups..,"Zurich, Oslo, Madrid",0,0,0.0
10,2024-07-08,Service,Rome,Looking for Service,"Hi, do you have any Service available? I'm planning to buy soon and need delivery to Rome.",203,Davis-Reynolds,Service,Pinnacle Zenith Grooming,"Discover the washing, brushing, and trimming services for all types of pets. Perfect for home enthusiasts..","Barcelona, Munich, Rome",1,1,0.0
10,2024-07-08,Service,Rome,Looking for Service,"Hi, do you have any Service available? I'm planning to buy soon and need delivery to Rome.",486,"Clark, Rivera and Graham",Toys,Pinnacle Orbit Blocks,Discover the colorful interlocking pieces for constructive play. Perfect for modern lifestyles..,"Prague, Munich, Berlin, Oslo, Madrid",0,0,0.0
10,2024-07-08,Service,Rome,Looking for Service,"Hi, do you have any Service available? I'm planning to buy soon and need delivery to Rome.",146,Hayes Inc,Clothing,Nexus Mirage Pack,Elevate your experience with multiple pairs of cotton or wool socks for daily use. Designed for all-day comfort..,"Stockholm, Copenhagen, Athens, Rome",0,1,0.0
10,2024-07-08,Service,Rome,Looking for Service,"Hi, do you have any Service available? I'm planning to buy soon and need delivery to Rome.",698,Terry PLC,Sporting Goods,Vivid Vector Ball,Discover the ball used in the sport of soccer/football. Perfect for outdoor adventures..,"Warsaw, Oslo, Helsinki",0,0,0.0
10,2024-07-08,Service,Rome,Looking for Service,"Hi, do you have any Service available? I'm planning to buy soon and need delivery to Rome.",217,"Ward, Wilson and Morris",Sporting Goods,Vivid Spectrum Tracker,Elevate your experience with wearable device for tracking health metrics. Designed for everyday use..,"Brussels, Paris",0,0,0.0
11,2024-07-09,Audio,Berlin,Inquiry: Audio,"Hello, I'm searching for Audio with specific features. Do you have anything suitable in stock?",984,Hamilton-Torres,Audio,Vivid Odyssey Microphone,"Introducing our microphone, high-quality microphone for recording vocals or podcasts. Ideal for home enthusiasts..","Helsinki, Oslo, Madrid",1,0,0.0
11,2024-07-09,Audio,Berlin,Inquiry: Audio,"Hello, I'm searching for Audio with specific features. Do you have anything suitable in stock?",939,"Jackson, Williams and Cunningham",Clothing,Vivid Aura Pack,"Introducing our pack, multiple pairs of cotton or wool socks for daily use. Ideal for tech-savvy users..","Munich, Amsterdam",0,0,0.0
11,2024-07-09,Audio,Berlin,Inquiry: Audio,"Hello, I'm searching for Audio with specific features. Do you have anything suitable in stock?",263,"Brown, Randall and Holden",Books,Radiant Eclipse Book,Discover the illustrated book for young readers. Perfect for home enthusiasts..,"Zurich, Copenhagen, Prague, Munich, Oslo",0,0,0.0
11,2024-07-09,Audio,Berlin,Inquiry: Audio,"Hello, I'm searching for Audio with specific features. Do you have anything suitable in stock?",279,"Rice, Smith and Harris",Electronics,Aurora Pinnacle Smartphone,"Our smartphone stands out: portable device for calls, internet, apps, and more. Great for everyday use..","Madrid, Paris, Helsinki, Copenhagen, Brussels",0,0,0.0
11,2024-07-09,Audio,Berlin,Inquiry: Audio,"Hello, I'm searching for Audio with specific features. Do you have anything suitable in stock?",435,"Heath, Lewis and Hall",Food,Obsidian Spectrum Chocolate,"Introducing our chocolate, rich chocolate with a high cocoa content for intense flavor. Ideal for outdoor adventures..","Zurich, Budapest",0,0,0.0
12,2024-07-10,Audio,Budapest,Inquiry: Audio,"Hi, I'm looking for high-quality Audio to be delivered to Budapest. Please let me know your best offer.",643,"King, Greene and Glass",Audio,Cascade Pulse Headphones,Discover the headphones that reduce ambient noise for focused listening. Perfect for home enthusiasts..,"Lisbon, Brussels, Vienna, Helsinki, Munich",1,0,0.0
12,2024-07-10,Audio,Budapest,Inquiry: Audio,"Hi, I'm looking for high-quality Audio to be delivered to Budapest. Please let me know your best offer.",485,"Clark, Rivera and Graham",Clothing,Celestial Aura T-Shirt,Discover the casual cotton shirt with short sleeves. Perfect for tech-savvy users..,"Prague, Munich, Berlin, Oslo, Madrid",0,0,0.0
12,2024-07-10,Audio,Budapest,Inquiry: Audio,"Hi, I'm looking for high-quality Audio to be delivered to Budapest. Please let me know your best offer.",683,Smith-Peterson,Books,Velvet Solace Guide,"Introducing our guide, informational book on destinations and travel tips. Ideal for modern lifestyles..","Zurich, Oslo, Madrid",0,0,0.0
12,2024-07-10,Audio,Budapest,Inquiry: Audio,"Hi, I'm looking for high-quality Audio to be delivered to Budapest. Please let me know your best offer.",470,"Rios, Hester and Washington",Books,Halo Mirage Cookbook,Discover the collection of recipes and cooking tips. Perfect for on-the-go convenience..,"Madrid, Oslo, Helsinki",0,0,0.0
12,2024-07-10,Audio,Budapest,Inquiry: Audio,"Hi, I'm looking for high-quality Audio to be delivered to Budapest. Please let me know your best offer.",416,"Green, Roberts and Henderson",Clothing,Cascade Pinnacle Sneakers,"Introducing our sneakers, comfortable footwear for everyday use or sports. Ideal for tech-savvy users..","Athens, Warsaw",0,0,0.0
13,2024-07-11,Audio,Dublin,Need Audio,"Hello, I'm searching for Audio with specific features. Do you have anything suitable in stock?",258,Simmons LLC,Audio,Quantum Vector Speaker,"Introducing our speaker, wireless speaker with bluetooth connectivity and rich sound. Ideal for outdoor adventures..","Warsaw, Vienna, Barcelona",1,0,0.0
13,2024-07-11,Audio,Dublin,Need Audio,"Hello, I'm searching for Audio with specific features. Do you have anything suitable in stock?",231,Good-Smith,Books,Quantum Zenith Novel,Elevate your experience with fiction book involving suspense and investigation. Designed for tech-savvy users..,"Oslo, Budapest, Brussels, Munich",0,0,0.0
13,2024-07-11,Audio,Dublin,Need Audio,"Hello, I'm searching for Audio with specific features. Do you have anything suitable in stock?",446,"Ramirez, Lee and Sanchez",Clothing,Vivid Reverie T-Shirt,Experience casual cotton shirt with short sleeves. Loved by outdoor adventures..,"Copenhagen, Berlin, Budapest",0,0,0.0
13,2024-07-11,Audio,Dublin,Need Audio,"Hello, I'm searching for Audio with specific features. Do you have anything suitable in stock?",474,"Cook, Jenkins and Mccoy",Furniture,Celestial Arc Chair,Our chair stands out: adjustable ergonomic chair for desk and office use. Great for eco-conscious spaces..,"Zurich, Prague",0,0,0.0
13,2024-07-11,Audio,Dublin,Need Audio,"Hello, I'm searching for Audio with specific features. Do you have anything suitable in stock?",69,"Carter, Martin and King",Books,Serene Spectrum Book,Our book stands out: illustrated book for young readers. Great for professional setups..,"Lisbon, Stockholm, Dublin, Barcelona, Prague",0,1,0.0
14,2024-07-12,Sporting Goods,Munich,Seeking Sporting Goods,"Dear supplier, I need Sporting Goods delivered to Munich. Kindly send me details on availability and cost.",810,Thomas and Sons,Sporting Goods,Vivid Eclipse Ball,"Introducing our ball, ball used in the sport of soccer/football. Ideal for on-the-go convenience..","Dublin, Madrid",1,0,0.0
14,2024-07-12,Sporting Goods,Munich,Seeking Sporting Goods,"Dear supplier, I need Sporting Goods delivered to Munich. Kindly send me details on availability and cost.",149,Hayes Inc,Toys,Celestial Essence Car,Our car stands out: remote-controlled car powered by batteries. Great for everyday use..,"Stockholm, Copenhagen, Athens, Rome",0,0,0.0
14,2024-07-12,Sporting Goods,Munich,Seeking Sporting Goods,"Dear supplier, I need Sporting Goods delivered to Munich. Kindly send me details on availability and cost.",51,Alexander Ltd,Beauty,Halo Aura Polish,"Introducing our polish, colored lacquer applied to fingernails or toenails. Ideal for on-the-go convenience..","Athens, Helsinki, Oslo, Stockholm, Munich",0,1,0.0
14,2024-07-12,Sporting Goods,Munich,Seeking Sporting Goods,"Dear supplier, I need Sporting Goods delivered to Munich. Kindly send me details on availability and cost.",252,"Davenport, Reed and Burns",Audio,Quantum Horizon Speaker,Our speaker stands out: wireless speaker with bluetooth connectivity and rich sound. Great for outdoor adventures..,"Madrid, Munich",0,1,0.0
14,2024-07-12,Sporting Goods,Munich,Seeking Sporting Goods,"Dear supplier, I need Sporting Goods delivered to Munich. Kindly send me details on availability and cost.",546,Green-Cole,Food,Quantum Orbit Yogurt,"Experience thick, creamy yogurt rich in protein and probiotics. Loved by outdoor adventures..","Berlin, Barcelona, Stockholm, Paris",0,0,0.0
15,2024-07-15,Books,Athens,Inquiry: Books,"Hello, I'm searching for Books with specific features. Do you have anything suitable in stock?",71,"Edwards, Moore and Ayers",Books,Obsidian Vector Cookbook,"Introducing our cookbook, collection of recipes and cooking tips. Ideal for on-the-go convenience..","Zurich, Stockholm, Budapest",1,0,0.0
15,2024-07-15,Books,Athens,Inquiry: Books,"Hello, I'm searching for Books with specific features. Do you have anything suitable in stock?",801,Howard-Beasley,Electronics,Eclipse Spectrum Tablet,"Our tablet stands out: touchscreen device for browsing, reading, and apps. Great for all-day comfort..","Oslo, Budapest, Paris",0,0,0.0
15,2024-07-15,Books,Athens,Inquiry: Books,"Hello, I'm searching for Books with specific features. Do you have anything suitable in stock?",168,"Ross, Tyler and Fleming",Audio,Vivid Arc Headphones,Elevate your experience with headphones that reduce ambient noise for focused listening. Designed for outdoor adventures..,"Athens, Amsterdam, Prague",0,1,0.0
15,2024-07-15,Books,Athens,Inquiry: Books,"Hello, I'm searching for Books with specific features. Do you have anything suitable in stock?",668,Richard-Little,Electronics,Nexus Horizon Smartwatch,Our smartwatch stands out: wearable gadget with fitness tracking and notifications. Great for outdoor adventures..,"Dublin, Athens, Lisbon, Vienna, Copenhagen",0,1,0.0
15,2024-07-15,Books,Athens,Inquiry: Books,"Hello, I'm searching for Books with specific features. Do you have anything suitable in stock?",260,Simmons LLC,Audio,Nimbus Pulse Turntable,Experience vinyl record player with modern audio outputs. Loved by everyday use..,"Warsaw, Vienna, Barcelona",0,0,0.0
16,2024-07-16,Food,Amsterdam,RFQ: Food,"Hi, I'm looking for high-quality Food to be delivered to Amsterdam. Please let me know your best offer.",640,Robbins Inc,Food,Pinnacle Vertex Bar,"Our bar stands out: a wholesome snack bar made with oats, honey, and nuts. Great for creative work..","Budapest, Barcelona, Dublin, Vienna, Brussels",1,0,0.0
16,2024-07-16,Food,Amsterdam,RFQ: Food,"Hi, I'm looking for high-quality Food to be delivered to Amsterdam. Please let me know your best offer.",785,"Fields, Peters and Allen",Furniture,Aurora Flux Chair,"Introducing our chair, adjustable ergonomic chair for desk and office use. Ideal for modern lifestyles..","Stockholm, Vienna, Copenhagen, Paris, Amsterdam",0,1,0.0
16,2024-07-16,Food,Amsterdam,RFQ: Food,"Hi, I'm looking for high-quality Food to be delivered to Amsterdam. Please let me know your best offer.",397,"Robinson, Adams and Allen",Furniture,Radiant Eclipse Bookshelf,Elevate your experience with multi-tier shelf for storing books and decorations. Designed for home enthusiasts..,"Berlin, Brussels, Paris, Amsterdam, Rome",0,1,0.0
16,2024-07-16,Food,Amsterdam,RFQ: Food,"Hi, I'm looking for high-quality Food to be delivered to Amsterdam. Please let me know your best offer.",220,Jones PLC,Furniture,Cascade Orbit Chair,Elevate your experience with adjustable ergonomic chair for desk and office use. Designed for creative work..,"Zurich, Madrid",0,0,0.0
16,2024-07-16,Food,Amsterdam,RFQ: Food,"Hi, I'm looking for high-quality Food to be delivered to Amsterdam. Please let me know your best offer.",194,Christian and Sons,Toys,Cascade Essence Bear,"Introducing our bear, soft stuffed toy shaped like a bear. Ideal for everyday use..","Helsinki, Budapest, Vienna, Dublin, Rome",0,0,0.0
17,2024-07-17,Electronics,Oslo,Inquiry: Electronics,"Hello, I'm searching for Electronics with specific features. Do you have anything suitable in stock?",344,"Woods, Rogers and Pitts",Electronics,Pinnacle Essence Tablet,"Our tablet stands out: touchscreen device for browsing, reading, and apps. Great for tech-savvy users..","Athens, Dublin, Amsterdam",1,0,0.0
